SampleID	Sample	EUKfrac	DNA_extract_conc_ng-µL	Sect_ID	Station_number	Cast_number	Samp_number	Date	time	lon	lat	bottom_depth	depth		Sample_ID	swDepth	swDepth2		Temperature	Salinity	Expocode	Pressure	Oxygen	Phosphate	Silicate	Nitrate	Nitrite	comments
P16N-S04-N01	P16N-S02-N01	0.00775224	1.01200689557309	P16N	4	3	1	20060215	20060215T20:39	-151.0009	-14.0002	4286	1001.01226042318		P16N-S04-N01	1001.012265	1001		4.1326	34.5166	P16N_3250TT191	1009.3	130.3	2.46	68.41	35.81	0.01	TM1/DNA8
P16N-S04-N02	P16N-S02-N04	0.02724576	2.92332224078839	P16N	4	3	2	20060215	20060215T20:47	-151.0009	-14.0002	4286	702.98958468347		P16N-S04-N02	702.9895877	703		5.5264	34.4619	P16N_3250TT191	708.3	147.3	2.19	39.33	32.6	0.01	TM2/DNA7
P16N-S04-N04	P16N-S02-N05	0.02243989	4.6925463794186	P16N	4	3	4	20060215	20060215T20:57	-151.0009	-14.0002	4286	254.853817818891		P16N-S04-N04	254.8538189	255		19.3434	35.626	P16N_3250TT191	256.5	169.8	0.58	0.78	5.46	0.02	TM4/DNA6
P16N-S04-N05	P16N-S02-N06	0.02143735	5.83619197578263	P16N	4	3	5	20060215	20060215T20:59	-151.0009	-14.0002	4286	203.411724087346		P16N-S04-N05	203.411725	203		22.6075	36.1251	P16N_3250TT191	204.7	177.2	0.44	0.39	3.02	0.06	TM5/DNA5
P16N-S04-N06	P16N-S02-N08	0.02350207	12.1447900592992	P16N	4	3	6	20060215	20060215T21:01	-151.0009	-14.0002	4286	156.228611572262		P16N-S04-N06	156.2286122	156		24.9995	36.3531	P16N_3250TT191	157.2	191.6	0.26	0.19	0.19	0.12	TM6/DNA4
P16N-S04-N08	P16N-S04-N01	0.01457887	0.965481456248766	P16N	4	3	8	20060215	20060215T21:02	-151.0009	-14.0002	4286	103.569401992712		P16N-S04-N08	103.5694024	104		27.9785	36.2407	P16N_3250TT191	104.2	200.8	0.18	0.29	0.1	0.01	TM8/DNA3
P16N-S04-N11	P16N-S04-N02	0.00844153	1.66021943534841	P16N	4	3	11	20060215	20060215T21:04	-151.0009	-14.0002	4286	42.5473122916846		P16N-S04-N11	42.54731248	43		29.0668	36.1417	P16N_3250TT191	42.8	193.8	0.18	0.19	0.19	0.01	TM11/DNA2
P16N-S04-N12	P16N-S04-N04	0.01184275	4.03804661811297	P16N	4	3	12	20060215	20060215T21:05	-151.0009	-14.0001	4286	23.4617598550857		P16N-S04-N12	23.46175986	23		29.1665	36.1183	P16N_3250TT191	23.6	194.1	0.18	0.29	0.1	0.01	TM12/DNA1
P16N-S08-N03	P16N-S04-N05	0.01091506	4.4297405194515	P16N	8	1	3	20060217	20060217T07:37	-151.0008	-10	4649	501.43445841957		P16N-S08-N03	501.4344584	501		7.5063	34.5843	P16N_3250TT191	504.9	140.5	2.3	33.47	34.25	0.01	
P16N-S08-N04	P16N-S04-N06	0.01838687	10.1096164499367	P16N	8	1	4	20060217	20060217T07:43	-151.0008	-10	4646	251.01881208484		P16N-S08-N04	251.0188121	251		16.4869	35.2401	P16N_3250TT191	252.6	157.2	0.96	3.51	10.83	0.01	
P16N-S08-N05	P16N-S04-N08	0.0491478	17.4889283600657	P16N	8	1	5	20060217	20060217T07:44	-151.0008	-10	4647	202.051484272406		P16N-S08-N05	202.0514843	202		20.6876	35.8367	P16N_3250TT191	203.3	165.6	0.64	1.07	6.24	0.02	
P16N-S08-N06	P16N-S04-N11	0.02000135	13.1255966180281	P16N	8	1	6	20060217	20060217T07:46	-151.0008	-10	4648	152.873777985545		P16N-S08-N06	152.873778	153		23.6486	36.2918	P16N_3250TT191	153.8	179.8	0.45	0.49	3.12	0.1	
P16N-S08-N08	P16N-S04-N12	0.0124144	15.9529601402101	P16N	8	1	8	20060217	20060217T07:48	-151.0008	-10	4648	103.087994547671		P16N-S08-N08	103.0879945	103		27.3231	36.3596	P16N_3250TT191	103.7	196.5	0.22	0.58	0.1	0.01	
P16N-S08-N11	P16N-S08-N03	0.01162166	2.4021115759254	P16N	8	1	11	20060217	20060217T07:50	-151.0008	-10	4648	36.4893316362989		P16N-S08-N11	36.48933164	36		29.1895	35.9801	P16N_3250TT191	36.7	194.2	0.2	0.29	0	0.01	
P16N-S08-N12	P16N-S08-N04	0.00943254	3.58913900084859	P16N	8	1	12	20060217	20060217T07:51	-150.9999	-10	4648	21.8744935114442		P16N-S08-N12	21.87449351	22		29.2148	35.9776	P16N_3250TT191	22	194.5	0.2	0.39	0.1	0.01	
P16N-S12-N01	P16N-S08-N05	0.03150439	4.85727158351282	P16N	12	3	1	20060219	20060219T00:28	-151.0007	-6	5031	1002.05554825439		P16N-S12-N01	1002.055548	1002		4.3718	34.5491	P16N_3250TT191	1010.1	86.9	2.75	78.46	39.42	0.02	
P16N-S12-N03	P16N-S08-N06	0.00795872	6.46302796235488	P16N	12	3	3	20060219	20060219T00:40	-151.0007	-6.0001	5030	502.87419406711		P16N-S12-N03	502.874195	503		8.3303	34.6424	P16N_3250TT191	506.3	53	2.45	32.69	36.49	0.02	
P16N-S12-N04	P16N-S08-N08	0.04728513	15.3607038720545	P16N	12	3	4	20060219	20060219T00:46	-151.0007	-6	5030	255.017193314124		P16N-S12-N04	255.0171933	255		12.5592	34.9346	P16N_3250TT191	256.6	65	1.95	16.1	26.54	0.02	
P16N-S12-N05	P16N-S08-N11	0.08018612	15.6536883953671	P16N	12	3	5	20060219	20060219T00:48	-151.0007	-6	5030	206.244530487381		P16N-S12-N05	206.2445305	206		15.4185	35.1865	P16N_3250TT191	207.5	117.1	1.45	7.51	17.85	0.03	
P16N-S12-N06	P16N-S08-N12	0.05863255	12.6113018968484	P16N	12	3	6	20060219	20060219T00:49	-151.0007	-6	5030	156.267877863314		P16N-S12-N06	156.2678779	156		19.3276	35.5736	P16N_3250TT191	157.2	155.1	0.86	1.56	8.97	0.08	
P16N-S12-N08	P16N-S12-N01	0.03149254	1.43199329379803	P16N	12	3	8	20060219	20060219T00:50	-151.0007	-6	5030	103.297248787692		P16N-S12-N08	103.2972488	103		27.14	36.245	P16N_3250TT191	103.9	188.9	0.41	0.39	1.56	1.11	
P16N-S12-N11	P16N-S12-N03	0.00215613	3.21127698687674	P16N	12	3	11	20060219	20060219T00:53	-151.0007	-6	5030	36.5924628768668		P16N-S12-N11	36.59246288	37		27.9745	35.7597	P16N_3250TT191	36.8	199.8	0.38	0.39	2.44	0.09	
